selecao,grupo,P_campeao,P_final,P_semis,P_quartas,P_oitavas,P_classifica,P_1o_grupo
Espanha,H,15.9,25.2,37.5,49.9,70.9,98.9,73.6
Argentina,J,14.5,23.3,35.9,51.2,66.2,97.8,71.5
França,I,10.7,18.5,31.3,48.3,71.7,95.7,61.0
Brasil,C,9.4,16.8,29.3,46.8,67.9,98.5,61.0
Inglaterra,L,8.3,15.3,27.2,44.8,67.8,97.4,62.7
Portugal,K,6.7,13.2,23.7,41.2,65.5,92.9,49.9
Colômbia,K,4.7,10.0,19.1,34.8,59.5,90.4,40.6
Alemanha,E,4.0,8.9,19.0,35.2,68.0,97.7,56.4
Marrocos,C,3.9,8.6,17.9,33.5,54.5,94.4,32.4
Países Baixos,F,3.2,7.1,14.8,28.9,46.0,88.3,46.4
Bélgica,G,2.6,6.4,13.9,33.3,60.0,92.9,54.8
Uruguai,H,2.1,5.2,11.5,23.2,40.7,90.1,23.3
Croácia,L,1.9,4.7,11.2,23.1,47.9,90.6,31.6
Equador,E,1.8,4.7,11.3,24.2,53.7,92.8,30.7
Japão,F,1.7,4.3,10.1,22.2,39.5,82.5,33.3
Suíça,B,1.4,4.1,10.4,25.7,58.9,95.6,53.6
México,A,1.0,3.0,8.2,20.4,49.8,88.7,48.0
Senegal,I,0.9,2.8,7.5,18.5,40.1,76.4,18.3
Noruega,I,0.9,2.5,7.0,17.8,39.1,75.9,18.8
Canadá,B,0.8,2.3,6.8,19.6,52.1,92.9,39.3
Áustria,J,0.5,1.6,4.8,12.2,27.1,74.6,14.4
Irã,G,0.4,1.4,4.6,14.2,39.1,78.6,24.1
Austrália,D,0.4,1.2,3.9,12.2,32.7,69.6,24.6
Argélia,J,0.3,1.1,3.4,10.0,23.5,69.8,12.1
Estados Unidos,D,0.3,1.3,4.0,13.1,35.2,72.0,29.2
Turquia,D,0.3,1.2,3.9,12.5,33.8,70.8,27.0
Coreia do Sul,A,0.2,0.9,3.5,11.1,34.5,77.0,26.8
Egito,G,0.2,0.8,3.0,10.5,32.3,71.2,18.0
Paraguai,D,0.2,0.8,2.6,9.1,26.4,62.1,19.2
Costa do Marfim,E,0.2,0.7,2.8,9.7,32.1,78.1,12.6
Suécia,F,0.1,0.4,1.6,5.6,16.0,50.1,10.9
Tchéquia,A,0.1,0.4,1.7,6.6,25.0,66.4,18.5
Tunísia,F,0.1,0.4,1.5,5.6,16.1,49.7,9.3
Escócia,C,0.1,0.3,1.7,6.3,19.1,64.9,6.1
Uzbequistão,K,0.0,0.2,0.9,3.5,12.2,41.4,5.4
Rep. D. do Congo,K,0.0,0.2,0.7,2.9,10.1,36.8,4.1
Cabo Verde,H,0.0,0.0,0.2,1.4,5.6,31.8,1.7
Iraque,I,0.0,0.0,0.2,1.2,5.1,21.1,1.9
África do Sul,A,0.0,0.0,0.3,1.7,10.0,39.6,6.7
Bósnia e Herzegovina,B,0.0,0.0,0.2,1.5,10.2,44.4,4.5
Panamá,L,0.0,0.0,0.2,1.3,6.5,36.6,3.1
Catar,B,0.0,0.0,0.1,0.6,5.3,30.3,2.6
Haiti,C,0.0,0.0,0.0,0.1,1.0,10.6,0.5
Curaçao,E,0.0,0.0,0.0,0.0,0.7,6.8,0.3
Arábia Saudita,H,0.0,0.0,0.2,1.2,5.1,30.6,1.4
Nova Zelândia,G,0.0,0.0,0.1,0.8,5.5,25.2,3.0
Jordânia,J,0.0,0.0,0.2,1.0,4.4,25.2,2.0
Gana,L,0.0,0.0,0.2,1.1,5.8,34.4,2.6
